feature,importance_mean,importance_std,corrected_empath_label
488 (empath_friends),0.0005755144750611008,0.0002013977462927928,empath_friends
561 (empath_death),0.0005736459215706646,0.0004598097207347181,empath_death
580 (empath_death),0.0005649260052818572,0.00024281691043710822,empath_death
550 (empath_health),0.000554960386666098,0.0004146986827325531,empath_health
48 (empath_death),0.0005487318750312276,0.0002626106258802944,empath_death
725 (empath_negative_emotion),0.0005446833424685605,0.0002528766135508759,empath_negative_emotion
377 (empath_pain),0.000536274851761509,0.000192267404982139,empath_pain
366 (empath_negative_emotion),0.0005334720215257882,0.00020824360568063763,empath_negative_emotion
392 (empath_health),0.0005328491703623095,0.00023747277809662315,empath_health
137 (empath_negative_emotion),0.0005322263191988863,0.00022244137629152705,empath_negative_emotion
263 (empath_death),0.0005132293587125414,0.00033276460973049037,empath_death
538 (empath_medical_emergency),0.0005051322935872238,0.00038582550388609584,empath_medical_emergency
764 (empath_health),0.0004998380586975715,0.0001634658016221349,empath_health
670 (empath_medical_emergency),0.0004923638447357548,0.0002360801056098838,empath_medical_emergency
617 (empath_positive_emotion),0.0004901838656635627,0.0005367484724811689,empath_positive_emotion
438 (empath_friends),0.000488626737754827,0.00020242638857466625,empath_friends
49 (empath_health),0.0004880038865913705,0.00017220764639669153,empath_health
40 (empath_medical_emergency),0.000488003886591365,0.0002235269994075283,empath_medical_emergency
198 (empath_body),0.00048520105635564416,0.00025776483004508297,empath_body
381 (empath_negative_emotion),0.0004780382679755557,0.00026382636474188545,empath_negative_emotion
647 (empath_medical_emergency),0.00047025262843202744,0.0006171461908032989,empath_medical_emergency
546 (empath_death),0.00044782998654648856,0.00048129068016277793,empath_death
225 (empath_optimism),0.00043568438885852045,0.0005112939448719732,empath_optimism
591 (empath_negative_emotion),0.0004353729632767811,0.0002623593718753009,empath_negative_emotion
33 (empath_health),0.00043475011211328016,0.00021871390004124115,empath_health
453 (empath_negative_emotion),0.0004338158353680732,0.00023986866820567202,empath_negative_emotion
155 (empath_affection),0.00043350440978633386,0.00024762857820095734,empath_affection
206 (empath_medical_emergency),0.00042634162140622325,0.0001771075394117988,empath_medical_emergency
615 (empath_family),0.00042322736558880194,0.0005954225015131284,empath_family
750 (empath_negative_emotion),0.00041544172604526255,0.0002829561490817602,empath_negative_emotion
739 (empath_medical_emergency),0.0004039189795207454,0.00020885746829906027,empath_medical_emergency
45 (empath_optimism),0.00040236185161205416,0.0004727657790360847,empath_optimism
243 (empath_money),0.0003955104888136829,0.00018118974796687217,empath_money
